indicator,siteCode,DATIM,KHIS,NDW,concordance_KHIS_to_DATIM,concordance_KHIS_to_NDW
HTS_TST_POS,10017,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10019,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,10023,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,10029,3.0,3.0,5.0,100.0,166.66666666666669
HTS_TST_POS,10033,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10040,0.0,4.0,0.0,0.0,0.0
HTS_TST_POS,10043,4.0,6.0,6.0,66.66666666666666,100.0
HTS_TST_POS,10044,7.0,15.0,15.0,46.666666666666664,100.0
HTS_TST_POS,10049,3.0,5.0,8.0,60.0,160.0
HTS_TST_POS,10055,0.0,1.0,2.0,0.0,200.0
HTS_TST_POS,10056,3.0,4.0,0.0,75.0,0.0
HTS_TST_POS,10058,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10093,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10096,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10097,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10100,7.0,12.0,12.0,58.333333333333336,100.0
HTS_TST_POS,10108,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10110,3.0,6.0,6.0,50.0,100.0
HTS_TST_POS,10112,0.0,9.0,10.0,0.0,111.11111111111111
HTS_TST_POS,10154,0.0,4.0,0.0,0.0,0.0
HTS_TST_POS,10170,4.0,7.0,7.0,57.14285714285714,100.0
HTS_TST_POS,10171,2.0,7.0,7.0,28.57142857142857,100.0
HTS_TST_POS,10184,0.0,4.0,0.0,0.0,0.0
HTS_TST_POS,10185,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10188,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10189,8.0,4.0,4.0,200.0,100.0
HTS_TST_POS,10194,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10195,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10199,0.0,3.0,3.0,0.0,100.0
HTS_TST_POS,10200,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10202,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10207,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10209,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10210,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10213,1.0,3.0,2.0,33.33333333333333,66.66666666666666
HTS_TST_POS,10214,4.0,5.0,5.0,80.0,100.0
HTS_TST_POS,10216,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10217,3.0,5.0,5.0,60.0,100.0
HTS_TST_POS,10221,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10227,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10229,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10233,8.0,16.0,16.0,50.0,100.0
HTS_TST_POS,10234,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10236,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,10239,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10244,3.0,6.0,5.0,50.0,83.33333333333334
HTS_TST_POS,10245,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10248,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,10249,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,10250,14.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10251,1.0,3.0,3.0,33.33333333333333,100.0
HTS_TST_POS,10252,14.0,19.0,20.0,73.68421052631578,105.26315789473684
HTS_TST_POS,10253,0.0,0.0,1.0,0.0,0.0
HTS_TST_POS,10256,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10257,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10258,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10261,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10263,2.0,5.0,5.0,40.0,100.0
HTS_TST_POS,10267,5.0,9.0,8.0,55.55555555555556,88.88888888888889
HTS_TST_POS,10269,7.0,12.0,11.0,58.333333333333336,91.66666666666666
HTS_TST_POS,10274,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10279,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10285,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10286,3.0,1.0,0.0,300.0,0.0
HTS_TST_POS,10287,21.0,7.0,12.0,300.0,171.42857142857142
HTS_TST_POS,10289,0.0,3.0,1.0,0.0,33.33333333333333
HTS_TST_POS,10290,8.0,4.0,5.0,200.0,125.0
HTS_TST_POS,10304,0.0,13.0,0.0,0.0,0.0
HTS_TST_POS,10305,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10312,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,10321,4.0,4.0,4.0,100.0,100.0
HTS_TST_POS,10335,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10338,8.0,11.0,11.0,72.72727272727273,100.0
HTS_TST_POS,10340,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10349,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10355,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10357,3.0,8.0,13.0,37.5,162.5
HTS_TST_POS,10360,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10368,4.0,5.0,6.0,80.0,120.0
HTS_TST_POS,10378,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,10379,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10386,6.0,9.0,1.0,66.66666666666666,11.11111111111111
HTS_TST_POS,10388,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,10394,3.0,3.0,0.0,100.0,0.0
HTS_TST_POS,10398,0.0,3.0,3.0,0.0,100.0
HTS_TST_POS,10402,0.0,3.0,4.0,0.0,133.33333333333331
HTS_TST_POS,10406,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10410,0.0,5.0,0.0,0.0,0.0
HTS_TST_POS,10413,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10417,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10419,0.0,3.0,3.0,0.0,100.0
HTS_TST_POS,10429,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10432,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10435,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,10436,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10438,9.0,11.0,6.0,81.81818181818183,54.54545454545454
HTS_TST_POS,10441,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,10443,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,10445,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10446,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10450,3.0,4.0,4.0,75.0,100.0
HTS_TST_POS,10458,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10459,7.0,19.0,19.0,36.84210526315789,100.0
HTS_TST_POS,10461,3.0,4.0,5.0,75.0,125.0
HTS_TST_POS,10462,3.0,3.0,2.0,100.0,66.66666666666666
HTS_TST_POS,10465,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,10468,2.0,5.0,5.0,40.0,100.0
HTS_TST_POS,10470,0.0,1.0,2.0,0.0,200.0
HTS_TST_POS,10471,3.0,5.0,5.0,60.0,100.0
HTS_TST_POS,10474,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,10476,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10481,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,10484,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,10485,13.0,18.0,19.0,72.22222222222221,105.55555555555556
HTS_TST_POS,10488,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,10489,5.0,6.0,6.0,83.33333333333334,100.0
HTS_TST_POS,10490,2.0,2.0,3.0,100.0,150.0
HTS_TST_POS,10504,0.0,2.0,2.0,0.0,100.0
HTS_TST_POS,10507,15.0,23.0,24.0,65.21739130434783,104.34782608695652
HTS_TST_POS,10509,4.0,5.0,5.0,80.0,100.0
HTS_TST_POS,10512,6.0,8.0,7.0,75.0,87.5
HTS_TST_POS,10517,0.0,3.0,0.0,0.0,0.0
HTS_TST_POS,10519,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,10520,22.0,28.0,36.0,78.57142857142857,128.57142857142858
HTS_TST_POS,10522,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10528,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10530,0.0,2.0,2.0,0.0,100.0
HTS_TST_POS,10532,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,10539,35.0,46.0,43.0,76.08695652173914,93.47826086956522
